============================================================
 Discharging Rules | Alpha: 6.00000000
============================================================
  type    from      to        charge
------------------------------------------------------------
    FF       3       3      0.000000
    FF       4       3      0.600000
    FF       4       4      0.000000
    FV       3       5      0.200000
    FV       3       6      0.000000
    FV       3       7     -0.100000
    FV       3       8     -0.400000
    FV       4       5      0.500000
    FV       4       6      0.000000
    FV       4       7      0.000000
    FV       4       8      0.000000
    VV       5       5      0.000000
    VV       6       5      0.000000
    VV       6       6      0.000000
    VV       7       5      0.042857
    VV       7       6      0.000000
    VV       7       7      0.000000
    VV       8       5      0.200000
    VV       8       6      0.000000
    VV       8       7      0.000000
    VV       8       8      0.000000
============================================================
